y_true,score
1,0.5909507544569951
0,0.0
0,0.0
0,0.0
0,0.0
1,0.888973842828048
0,0.05616716526158026
1,0.6667618082794721
0,0.3442058962722766
1,1.0
0,0.2885498297659667
1,0.5398037944008531
0,0.2954908986427266
1,1.0
0,0.041794835220319515
0,0.0
1,0.9259568573998889
1,0.7279371404759585
0,0.29625988552137805
1,0.4822280875045508
1,0.8430793951800858
0,0.24306601233228797
1,0.6632330341946843
0,0.0
1,0.5250807935768926
1,0.8534667318435777
1,0.8981443010175594
1,0.708810093835702
1,0.706332271322189
1,0.9897402774938209
0,0.10869315056257753
0,0.1279726270687601
0,0.0724900321434391
0,0.03173343483727106
0,0.43955782954332395
1,0.86896490751769
1,0.42444965597825035
0,0.0
1,0.7903208901754113
1,0.5863073108084129
0,0.0843718139765793
1,0.7456532463133169
0,0.641318492718252
1,0.680742416804714
1,0.7655144386553318
1,0.7722801284262955
1,1.0
0,0.16920342435362662
0,0.33821602752626834
0,0.5374831060277205
0,0.39714637345263526
1,0.8597343878998549
1,0.8312448416944233
1,0.681116275293261
1,0.5811572392021633
1,0.8334892976856048
0,0.15982559556716452
1,1.0
0,0.3924045495281925
1,0.7431238811994441
1,1.0
0,0.0
0,0.0
0,0.3280390035199978
0,0.016764565465186815
0,0.0
0,0.40365493061414337
1,0.32067450752355675
0,0.312536079455212
0,0.3008719628745501
0,0.08403035097262156
0,0.0
0,0.5131952571153776
0,0.23470032677898875
1,0.4305321056192675
0,0.31874377528704567
1,0.6402971234050412
1,0.5231996455238948
0,0.1718222442243096
1,0.9779094092347287
0,0.0
1,0.594954041665668
1,0.8678898473001562
1,0.8680725128057871
0,0.2274959199885366
0,0.21129872844995773
0,0.42003765786262115
1,0.7690440688026361
1,0.7747265999424297
1,0.7690984578998705
1,0.4830436287144082
0,0.10163922588825887
1,1.0
1,0.8335741514898033
0,0.5659657782337202
1,0.7305464834742035
1,0.5255294328810957
0,0.034394578979129536
0,0.14897884280992493
0,0.12403727274504234
1,1.0
1,0.9694871464163608
1,0.6091488637115007
1,1.0
1,0.9933760533403918
1,0.7900662735722335
1,0.449424452770893
0,0.0
0,0.0
0,0.0
1,0.5214029521201219
1,0.8019191864935585
1,1.0
0,0.017041658873155424
1,0.23785688202978683
0,0.2490596975791481
0,0.0
0,0.0
1,0.7048763604065952
0,0.39495076050608374
1,0.6652187050900716
1,0.6349989446945322
1,0.9537408572675159
0,0.20557476229137664
0,0.0
1,0.9413952368735375
1,0.4393920791082026
1,0.5887059571696511
1,0.7467606231837433
1,0.49641853720829293
1,0.6330678983810006
0,0.2566055675830126
1,1.0
1,1.0
1,0.9783100705609172
1,0.9426423677070963
0,0.17507465187685545
1,1.0
1,1.0
0,0.010846113315961275
1,0.9673296847187238
0,0.4897267187652374
1,1.0
0,0.29729741958164346
0,0.0
1,0.40169907608450145
0,0.6306333181571122
1,0.8609518131751717
0,0.11356983582010238
1,0.642714890400032
1,0.6426128265423807
1,0.7188590313845552
0,0.42990062487244507
1,1.0
0,0.08033705022946888
1,0.8541679682468524
1,0.9130764655784532
1,0.68492074954096
1,0.6693494325188691
0,0.23898678443207216
0,0.0
0,0.21736704820485725
0,0.2171916394302993
0,0.2982478092738304
1,0.8679226158309874
0,0.1784152438254442
0,0.335836418704606
1,0.4587579464869441
1,0.9858995096427119
1,0.9745061514249012
1,0.8504896522634877
0,0.0
0,0.40756158552785393
0,0.08599635878942091
0,0.06350629491397147
1,0.8015954096626604
1,0.6324981335706654
1,1.0
1,0.9934696372827978
0,0.0
